,query,answer
0,[w:0-10][@you:call_you][w:0-10]毕业[w:0-10]大学[w:0-10],我是从首尔艺术大学毕业的，李准基，车太贤他们都是我的校友哦。
1,[w:0-10][@you:call_you][w:0-10]大学[w:0-10]毕业[w:0-10],我是从首尔艺术大学毕业的，李准基，车太贤他们都是我的校友哦。
2,[w:0-10]毕业[w:0-10][@you:call_you][w:0-10]大学[w:0-10],我是从首尔艺术大学毕业的，李准基，车太贤他们都是我的校友哦。
3,[w:0-10]毕业[w:0-10]大学[w:0-10][@you:call_you][w:0-10],我是从首尔艺术大学毕业的，李准基，车太贤他们都是我的校友哦。
4,[w:0-10]大学[w:0-10][@you:call_you][w:0-10]毕业[w:0-10],我是从首尔艺术大学毕业的，李准基，车太贤他们都是我的校友哦。
5,[w:0-10]大学[w:0-10]毕业[w:0-10][@you:call_you][w:0-10],我是从首尔艺术大学毕业的，李准基，车太贤他们都是我的校友哦。
6,[w:0-10]我[w:0-10]喊[@you:call_you][w:0-10]什么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
7,[w:0-10]我[w:0-10]什么[w:0-10]喊[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
8,[w:0-10]喊[@you:call_you][w:0-10]我[w:0-10]什么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
9,[w:0-10]喊[@you:call_you][w:0-10]什么[w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
10,[w:0-10]什么[w:0-10]我[w:0-10]喊[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
11,[w:0-10]什么[w:0-10]喊[@you:call_you][w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
12,[w:0-10]我[w:0-10]喊[@you:call_you][w:0-10]怎么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
13,[w:0-10]我[w:0-10]怎么[w:0-10]喊[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
